线路,站名,坐标,全地名,总时间,时间1,距离1,行走距离1,费用1,夜班1,时间2,距离2,行走距离2,费用2,夜班2
七号线,南村万博,"113.347555,23.004769",广东省广州市番禺区万博地铁站,0,0,0,0,0,0,0,0,0,0,0
三号线,广州塔,"113.323618,23.106375",广东省广州市海珠区广州塔地铁站,4433,2753,16066,651,5.0,0,1680,5944,236,4.0,0
APM,广州塔,"113.323618,23.106375",广东省广州市海珠区广州塔地铁站,4433,2753,16066,651,5.0,0,1680,5944,236,4.0,0
三号线,大塘,"113.321677,23.077974",广东省广州市海珠区大塘地铁站,4435,2497,12991,647,5.0,0,1938,9015,236,5.0,0
三号线,沥滘,"113.319077,23.054898",广东省广州市海珠区沥滘地铁站,4440,2323,10594,647,4.0,0,2117,11434,1372,4.0,0
三号线,珠江新城,"113.320988,23.119410",广东省广州市天河区珠江新城地铁站,4571,3057,17716,865,6.0,0,1514,3465,346,2.0,0
五号线,珠江新城,"113.320988,23.119410",广东省广州市天河区珠江新城地铁站,4571,3057,17716,865,6.0,0,1514,3465,346,2.0,0
三号线,石牌桥,"113.332124,23.133135",广东省广州市天河区石牌桥地铁站,4606,3263,20529,1022,4.0,0,1343,2188,1372,2.0,0
五号线,潭村,"113.345949,23.117366",广东省广州市天河区潭村地铁站,4674,3195,19742,648,6.0,0,1479,1872,824,2.0,0
三号线,客村,"113.320716,23.096099",广东省广州市海珠区客村地铁站,4723,2786,14990,817,5.0,0,1937,7377,1541,3.0,0
八号线,客村,"113.320716,23.096099",广东省广州市海珠区客村地铁站,4723,2786,14990,817,5.0,0,1937,7377,1541,3.0,0
四号线,车陂南,"113.324479,23.131384",广东省广州市天河区南地铁站,4742,3263,18975,985,6.0,0,1479,2520,447,2.0,0
五号线,车陂南,"113.324479,23.131384",广东省广州市天河区南地铁站,4742,3263,18975,985,6.0,0,1479,2520,447,2.0,0
APM,天河南,"113.324479,23.131384",广东省广州市天河区天河南地铁站,4742,3263,18975,985,6.0,0,1479,2520,447,2.0,0
三号线,厦滘,"113.317909,23.038531",广东省广州市番禺区厦滘地铁站,4777,2189,7558,1018,2.0,0,2588,13559,1758,5.0,0
五号线,猎德,"113.332105,23.118539",广东省广州市天河区猎德地铁站,4792,3586,16867,493,4.0,0,1206,2458,158,2.0,0
APM,花城大道,"113.324718,23.119223",广东省广州市天河区花城大道地铁站,4810,3332,18037,1186,6.0,0,1478,3243,418,2.0,0
七号线,员岗,"113.365641,23.015962",广东省广州市番禺区员岗地铁站,4858,1662,2316,532,2.0,0,3196,23083,268,8.0,0
十三号线,南岗,"113.365641,23.015962",广东省广州市番禺区番禺区员岗地铁站,4858,1662,2316,532,2.0,0,3196,23083,268,8.0,0
五号线,员村,"113.363663,23.115768",广东省广州市天河区员村地铁站,4972,3350,21362,643,7.0,0,1622,3701,556,2.0,0
一号线,体育中心,"113.324309,23.134281",广东省广州市天河区体育中心地铁站,4989,3578,19343,1353,6.0,0,1411,2441,368,2.0,0
APM,体育中心南,"113.324309,23.134281",广东省广州市天河区体育中心南地铁站,4989,3578,19343,1353,6.0,0,1411,2441,368,2.0,0
三号线,汉溪长隆,"113.332310,22.992780",广东省广州市番禺区汉溪长隆地铁站,5011,1883,5184,319,2.0,0,3128,18810,816,7.0,0
七号线,汉溪长隆,"113.332310,22.992780",广东省广州市番禺区汉溪长隆地铁站,5011,1883,5184,319,2.0,0,3128,18810,816,7.0,0
七号线,钟村,"113.316980,22.986437",广东省广州市番禺区钟村地铁站,5091,2018,6808,189,4.0,0,3073,20234,1600,6.0,0
十四号线,红卫,"113.330297,23.081578",广东省广州市海珠区红卫,5121,2873,12661,840,3.0,0,2248,7177,536,2.0,0
一号线,体育西路,"113.321443,23.131137",广东省广州市天河区体育西路地铁站,5122,3802,20786,698,6.0,0,1320,3309,176,2.0,0
三号线,体育西路,"113.321443,23.131137",广东省广州市天河区体育西路地铁站,5122,3802,20786,698,6.0,0,1320,3309,176,2.0,0
三号线(北延段),体育西路,"113.321443,23.131137",广东省广州市天河区体育西路地铁站,5122,3802,20786,698,6.0,0,1320,3309,176,2.0,0
八号线,中大,"113.292863,23.092124",广东省广州市海珠区中大地铁站,5259,3053,17901,647,6.0,0,2206,10289,1372,4.0,0
三号线,天河客运站,"113.343702,23.170673",广东省广州市天河区天河客运站地铁站,5264,3588,26017,648,7.0,0,1676,6732,1372,3.0,0
六号线,天河客运站,"113.343702,23.170673",广东省广州市天河区天河客运站地铁站,5264,3588,26017,648,7.0,0,1676,6732,1372,3.0,0
八号线,赤岗,"113.332275,23.096125",广东省广州市海珠区赤岗地铁站,5271,3405,14007,1189,3.0,0,1866,5516,473,2.0,0
三号线,岗顶,"113.339758,23.134214",广东省广州市天河区岗顶地铁站,5280,3447,20983,974,7.0,0,1833,2026,1124,2.0,0
八号线,新港东,"113.357010,23.098722",广东省广州市海珠区新港东地铁站,5284,3112,18321,647,6.0,0,2172,7679,445,4.0,0
三号线,华师,"113.345349,23.140306",广东省广州市天河区华师地铁站,5304,3838,19622,859,6.0,0,1466,2508,1505,2.0,0
二号线,南洲,"113.297850,23.063878",广东省广州市海珠区南洲地铁站,5365,2775,14127,533,2.0,0,2590,11119,399,2.0,0
