线路,站名,坐标,全地名,总时间/分,时间1/分,距离1/千米,行走距离1/千米,费用1/元,夜班1,时间2/分,距离2/千米,行走距离2/千米,费用2/元,夜班2
七号线,南村万博,"113.347555,23.004769",广东省广州市番禺区万博地铁站,0,0,0,0,0,0,0,0,0,0,0
三号线,广州塔,"113.323618,23.106375",广东省广州市海珠区广州塔地铁站,73.4,45.4,16.032,0.617,5.0,0,28.0,5.944,0.236,4.0,0
APM,广州塔,"113.323618,23.106375",广东省广州市海珠区广州塔地铁站,73.4,45.4,16.032,0.617,5.0,0,28.0,5.944,0.236,4.0,0
三号线,大塘,"113.321677,23.077974",广东省广州市海珠区大塘地铁站,73.45,41.15,12.957,0.613,5.0,0,32.3,9.015,0.236,5.0,0
三号线,沥滘,"113.319077,23.054898",广东省广州市海珠区沥滘地铁站,73.5333333333,38.25,10.56,0.613,4.0,0,35.2833333333,11.434,1.372,4.0,0
三号线,珠江新城,"113.320988,23.119410",广东省广州市天河区珠江新城地铁站,75.7166666667,50.4833333333,17.682,0.831,6.0,0,25.2333333333,3.465,0.346,2.0,0
五号线,珠江新城,"113.320988,23.119410",广东省广州市天河区珠江新城地铁站,75.7166666667,50.4833333333,17.682,0.831,6.0,0,25.2333333333,3.465,0.346,2.0,0
三号线,石牌桥,"113.332124,23.133135",广东省广州市天河区石牌桥地铁站,76.7666666667,54.3833333333,20.529,1.022,4.0,0,22.3833333333,2.188,1.372,2.0,0
五号线,潭村,"113.345949,23.117366",广东省广州市天河区潭村地铁站,77.3666666667,52.7166666667,19.703,0.609,6.0,0,24.65,1.872,0.824,2.0,0
三号线,客村,"113.320716,23.096099",广东省广州市海珠区客村地铁站,78.25,45.9666666667,14.956,0.783,5.0,0,32.2833333333,7.377,1.541,3.0,0
八号线,客村,"113.320716,23.096099",广东省广州市海珠区客村地铁站,78.25,45.9666666667,14.956,0.783,5.0,0,32.2833333333,7.377,1.541,3.0,0
四号线,车陂南,"113.324479,23.131384",广东省广州市天河区南地铁站,78.5666666667,53.9166666667,18.941,0.951,6.0,0,24.65,2.52,0.447,2.0,0
五号线,车陂南,"113.324479,23.131384",广东省广州市天河区南地铁站,78.5666666667,53.9166666667,18.941,0.951,6.0,0,24.65,2.52,0.447,2.0,0
APM,天河南,"113.324479,23.131384",广东省广州市天河区天河南地铁站,78.5666666667,53.9166666667,18.941,0.951,6.0,0,24.65,2.52,0.447,2.0,0
三号线,厦滘,"113.317909,23.038531",广东省广州市番禺区厦滘地铁站,79.15,36.0166666667,7.524,0.984,2.0,0,43.1333333333,13.559,1.758,5.0,0
APM,花城大道,"113.324718,23.119223",广东省广州市天河区花城大道地铁站,79.7,55.0666666667,18.003,1.152,6.0,0,24.6333333333,3.243,0.418,2.0,0
五号线,猎德,"113.332105,23.118539",广东省广州市天河区猎德地铁站,79.9166666667,59.8166666667,17.148,0.598,4.0,0,20.1,2.458,0.158,2.0,0
七号线,员岗,"113.365641,23.015962",广东省广州市番禺区员岗地铁站,80.9666666667,27.7,2.316,0.532,2.0,0,53.2666666667,23.083,0.268,8.0,0
十三号线,南岗,"113.365641,23.015962",广东省广州市番禺区番禺区员岗地铁站,80.9666666667,27.7,2.316,0.532,2.0,0,53.2666666667,23.083,0.268,8.0,0
五号线,员村,"113.363663,23.115768",广东省广州市天河区员村地铁站,82.4,55.3666666667,21.328,0.609,7.0,0,27.0333333333,3.701,0.556,2.0,0
一号线,体育中心,"113.324309,23.134281",广东省广州市天河区体育中心地铁站,82.6833333333,59.1666666667,19.309,1.319,6.0,0,23.5166666667,2.441,0.368,2.0,0
APM,体育中心南,"113.324309,23.134281",广东省广州市天河区体育中心南地铁站,82.6833333333,59.1666666667,19.309,1.319,6.0,0,23.5166666667,2.441,0.368,2.0,0
三号线,汉溪长隆,"113.332310,22.992780",广东省广州市番禺区汉溪长隆地铁站,83.4333333333,31.3,5.178,0.313,2.0,0,52.1333333333,18.81,0.816,7.0,0
七号线,汉溪长隆,"113.332310,22.992780",广东省广州市番禺区汉溪长隆地铁站,83.4333333333,31.3,5.178,0.313,2.0,0,52.1333333333,18.81,0.816,7.0,0
七号线,钟村,"113.316980,22.986437",广东省广州市番禺区钟村地铁站,84.75,33.5333333333,6.802,0.183,4.0,0,51.2166666667,20.234,1.6,6.0,0
十四号线,红卫,"113.330297,23.081578",广东省广州市海珠区红卫,84.8,47.3833333333,12.627,0.806,3.0,0,37.4166666667,7.177,0.536,2.0,0
一号线,体育西路,"113.321443,23.131137",广东省广州市天河区体育西路地铁站,84.9,62.9,19.828,2.63,5.0,0,22.0,3.309,0.176,2.0,0
三号线,体育西路,"113.321443,23.131137",广东省广州市天河区体育西路地铁站,84.9,62.9,19.828,2.63,5.0,0,22.0,3.309,0.176,2.0,0
三号线(北延段),体育西路,"113.321443,23.131137",广东省广州市天河区体育西路地铁站,84.9,62.9,19.828,2.63,5.0,0,22.0,3.309,0.176,2.0,0
八号线,赤岗,"113.332275,23.096125",广东省广州市海珠区赤岗地铁站,87.1166666667,56.0166666667,13.972,1.137,3.0,0,31.1,5.516,0.473,2.0,0
八号线,中大,"113.292863,23.092124",广东省广州市海珠区中大地铁站,87.1833333333,50.4166666667,17.867,0.613,6.0,0,36.7666666667,10.289,1.372,4.0,0
三号线,天河客运站,"113.343702,23.170673",广东省广州市天河区天河客运站地铁站,87.2666666667,59.3333333333,25.983,0.614,7.0,0,27.9333333333,6.732,1.372,3.0,0
六号线,天河客运站,"113.343702,23.170673",广东省广州市天河区天河客运站地铁站,87.2666666667,59.3333333333,25.983,0.614,7.0,0,27.9333333333,6.732,1.372,3.0,0
三号线,岗顶,"113.339758,23.134214",广东省广州市天河区岗顶地铁站,87.5333333333,56.9833333333,20.949,0.94,7.0,0,30.55,2.026,1.124,2.0,0
八号线,新港东,"113.357010,23.098722",广东省广州市海珠区新港东地铁站,87.6,51.4,18.287,0.613,6.0,0,36.2,7.679,0.445,4.0,0
二号线,南洲,"113.297850,23.063878",广东省广州市海珠区南洲地铁站,88.2833333333,45.1333333333,12.04,0.687,4.0,0,43.15,11.119,0.399,2.0,0
三号线,华师,"113.345349,23.140306",广东省广州市天河区华师地铁站,88.3,63.9166666667,19.619,0.856,6.0,0,24.3833333333,2.505,1.502,2.0,0
五号线,五羊邨,"113.314249,23.119843",广东省广州市越秀区五羊邨地铁站,89.4833333333,63.15,19.266,2.574,5.0,0,26.3333333333,4.075,0.494,2.0,0
APM,海心沙,"113.314249,23.119843",广东省广州市越秀区地铁站,89.4833333333,63.15,19.266,2.574,5.0,0,26.3333333333,4.075,0.494,2.0,0
三号线(北延段),林和西,"113.323947,23.141525",广东省广州市天河区林和西地铁站,89.6833333333,62.4666666667,19.98,0.826,3.0,0,27.2166666667,4.534,1.372,2.0,0
APM,林和西,"113.323947,23.141525",广东省广州市天河区林和西地铁站,89.6833333333,62.4666666667,19.98,0.826,3.0,0,27.2166666667,4.534,1.372,2.0,0
八号线,磨碟沙,"113.341285,23.098689",广东省广州市海珠区磨碟沙地铁站,90.0666666667,54.8,16.471,0.489,5.0,0,35.2666666667,9.309,1.372,4.0,0
十四号线,新南,"113.389561,23.115930",广东省广州市天河区车碑南地铁站,90.2666666667,57.6,24.619,0.177,8.0,0,32.6666666667,5.675,0.635,2.0,0
四号线,大学城南,"113.400557,23.043313",广东省广州市番禺区大学城南地铁站,90.3166666667,45.9833333333,15.1,0.177,6.0,0,44.3333333333,17.815,0.271,7.0,0
七号线,大学城南,"113.400557,23.043313",广东省广州市番禺区大学城南地铁站,90.3166666667,45.9833333333,15.1,0.177,6.0,0,44.3333333333,17.815,0.271,7.0,0
APM,大剧院,"113.324460,23.116138",广东省广州市天河区大剧院地铁站,90.55,62.8333333333,18.322,2.574,7.0,0,27.7166666667,3.459,0.634,2.0,0
三号线,大石,"113.320645,23.016786",广东省广州市番禺区大石地铁站,90.5833333333,38.2166666667,5.694,0.624,2.0,0,52.3666666667,15.985,1.088,7.0,0
一号线,杨箕,"113.307692,23.127284",广东省广州市越秀区杨箕地铁站,90.6666666667,65.35,20.492,2.574,5.0,0,25.3166666667,3.903,0.432,2.0,0
五号线,杨箕,"113.307692,23.127284",广东省广州市越秀区杨箕地铁站,90.6666666667,65.35,20.492,2.574,5.0,0,25.3166666667,3.903,0.432,2.0,0
二号线,洛溪,"113.298795,23.043076",广东省广州市番禺区洛溪地铁站,91.0666666667,40.0166666667,9.875,0.642,2.0,0,51.05,15.302,1.396,3.0,0
七号线,谢村,"113.295832,22.990579",广东省广州市番禺区谢村地铁站,91.2833333333,36.8,8.982,0.183,4.0,0,54.4833333333,22.414,1.6,6.0,0
七号线,板桥,"113.388139,23.016845",广东省广州市番禺区板桥地铁站,91.45,41.1,11.747,0.177,5.0,0,50.35,21.169,0.271,8.0,0
四号线,官洲,"113.376846,23.066862",广东省广州市海珠区官洲地铁站,91.65,51.7666666667,18.997,0.177,7.0,0,39.8833333333,13.918,0.271,6.0,0
八号线,琶洲,"113.368879,23.098397",广东省广州市海珠区琶洲地铁站,91.95,60.75,19.13,0.468,5.0,0,31.2,7.994,0.388,2.0,0
三号线,五山,"113.352100,23.152322",广东省广州市天河区五山地铁站,91.9833333333,65.8833333333,21.18,0.723,6.0,0,26.1,4.227,1.461,2.0,0
APM,黄埔大道,"113.324490,23.127054",广东省广州市天河区黄埔大道地铁站,92.2166666667,66.7833333333,19.535,2.574,7.0,0,25.4333333333,2.243,0.83,2.0,0
二号线,昌岗,"113.276885,23.090654",广东省广州市海珠区昌岗地铁站,92.55,51.9,16.09,0.687,5.0,0,40.65,12.156,1.372,4.0,0
八号线,昌岗,"113.276885,23.090654",广东省广州市海珠区昌岗地铁站,92.55,51.9,16.09,0.687,5.0,0,40.65,12.156,1.372,4.0,0
三号线(北延段),京溪南方医院,"113.326126,23.185225",广东省广州市白云区京溪南方医院地铁站,93.0833333333,59.7,25.165,0.617,7.0,0,33.3833333333,9.924,0.233,5.0,0
三号线(北延段),梅花园,"113.320202,23.174978",广东省广州市天河区梅花园地铁站,93.6666666667,59.9833333333,23.945,0.769,7.0,0,33.6833333333,8.706,0.387,5.0,0
二号线,东晓南,"113.294174,23.071333",广东省广州市海珠区东晓南地铁站,93.8166666667,46.8666666667,12.989,0.683,4.0,0,46.95,15.253,1.372,5.0,0
四号线,万胜围,"113.383904,23.098037",广东省广州市海珠区万胜围地铁站,94.0,59.5666666667,22.969,0.469,7.0,0,34.4333333333,9.341,0.369,2.0,0
八号线,万胜围,"113.383904,23.098037",广东省广州市海珠区万胜围地铁站,94.0,59.5666666667,22.969,0.469,7.0,0,34.4333333333,9.341,0.369,2.0,0
一号线,广州东站,"113.324729,23.150336",广东省广州市天河区广州东站地铁站,94.0666666667,64.95,20.507,0.856,3.0,0,29.1166666667,4.054,0.687,4.0,0
三号线(北延段),广州东站,"113.324729,23.150336",广东省广州市天河区广州东站地铁站,94.0666666667,64.95,20.507,0.856,3.0,0,29.1166666667,4.054,0.687,4.0,0
四号线,大学城北,"113.385625,23.058098",广东省广州市番禺区大学城北地铁站,94.1666666667,52.3833333333,17.719,0.348,7.0,0,41.7833333333,12.579,0.375,2.0,0
一号线,公园前,"113.264824,23.125000",广东省广州市越秀区公园前地铁站,95.7333333333,61.0166666667,20.236,0.739,6.0,0,34.7166666667,8.14,0.554,5.0,0
二号线,公园前,"113.264824,23.125000",广东省广州市越秀区公园前地铁站,95.7333333333,61.0166666667,20.236,0.739,6.0,0,34.7166666667,8.14,0.554,5.0,0
三号线,市桥,"113.361610,22.948959",广东省广州市番禺区市桥地铁站,95.8333333333,43.0,12.25,0.53,5.0,0,52.8333333333,25.204,0.355,8.0,0
APM,妇儿中心,"113.324558,23.122553",广东省广州市天河区妇儿中心地铁站,95.8833333333,70.3833333333,19.334,3.275,5.0,0,25.5,2.504,0.687,2.0,0
八号线,鹭江,"113.307242,23.095506",广东省广州市海珠区鹭江地铁站,96.3333333333,62.0833333333,17.251,2.712,5.0,0,34.25,6.811,0.403,2.0,0
四号线,车陂,"113.395548,23.124465",广东省广州市天河区车陂地铁站,96.45,59.8,20.793,2.346,6.0,0,36.65,7.413,1.744,3.0,0
广佛线,祖庙,"113.280570,23.082231",广东省广州市海珠区江泰路地铁站,96.6833333333,50.0,15.051,0.687,5.0,0,46.6833333333,14.764,1.372,4.0,0
广佛线,南桂路,"113.280570,23.082231",广东省广州市海珠区江泰路地铁站,96.6833333333,50.0,15.051,0.687,5.0,0,46.6833333333,14.764,1.372,4.0,0
广佛线,千灯湖,"113.280570,23.082231",广东省广州市海珠区江泰路地铁站,96.6833333333,50.0,15.051,0.687,5.0,0,46.6833333333,14.764,1.372,4.0,0
九号线,清㘵,"113.280570,23.082231",广东省广州市海珠区江泰路地铁站,96.6833333333,50.0,15.051,0.687,5.0,0,46.6833333333,14.764,1.372,4.0,0
三号线(北延段),燕塘,"113.327132,23.159980",广东省广州市天河区燕塘地铁站,97.2333333333,68.2666666667,22.919,2.574,6.0,0,28.9666666667,6.511,0.231,4.0,0
六号线,燕塘,"113.327132,23.159980",广东省广州市天河区燕塘地铁站,97.2333333333,68.2666666667,22.919,2.574,6.0,0,28.9666666667,6.511,0.231,4.0,0
